Surly Brewing,Furious,American IPA,US,Brooklyn Center,MN,,99,6.5
Surly Brewing,Bender,American Brown Ale,US,Brooklyn Center,MN,,45,5.5
Surly Brewing,Coffee Bender,Coffee American Brown Ale,US,Brooklyn Center,MN,,45,5.5
Surly Brewing,CynicAle,Belgian Saison/Pale Ale,US,Brooklyn Center,MN,,33,6.6
Surly Brewing,Hell,German Munich Helles,US,Brooklyn Center,MN,,20,4.5
Lucid Brewing,Air,,US,Minnetonka,MN,,,4.5
Lucid Brewing,Dyno,,US,Minnetonka,MN,,,5.2
Lucid Brewing,Foto,,US,Minnetonka,MN,,,6.5
Brau Brothers Brewing,The Ring Neck,Brown Ale,US,St. Lucan,MN,,,
Brau Brothers Brewing,Sheep Head,Ale,US,St. Lucan,MN,,,
Brau Brothers Brewing,Bancreagie,Scotch Ale,US,St. Lucan,MN,,,
Flat Earth Brewing,Angry Planet,,US,St. Paul,MN,,48,6
Flat Earth Brewing,Belgian-Style Pale Ale,Belgian Pale Ale,US,St. Paul,MN,,25,5.2
Flat Earth Brewing,Cyguns X-1 Porter,English Porter,US,St. Paul,MN,,45,6.5
Flat Earth Brewing,Northwest Passage IPA,IPA,US,St. Paul,MN,,115,6.5
Fulton Brewing Co.,Lonely Blonde,American Blonde,US,Minneapolis,MN,,29,4.8
Fulton Brewing Co.,Sweet Child of Vine,IPA,US,Minneapolis,MN,,69,6.4
Fulton Brewing Co.,The Libertine,Imperial Red Ale,US,Minneapolis,MN,,45,8.5
Fulton Brewing Co.,Worthy Adversary,Russian Imperial Stout,US,Minneapolis,MN,,81,9.2
Lift Bridge Brewery,Farm Girl Saison,Belgian Saison,US,Stillwater,MN,,30,6
Lift Bridge Brewery,Crosscut Pale Ale,Pale Ale,US,Stillwater,MN,,55,5.5
Lift Bridge Brewery,Chestnut Hill,Nut Brown Ale,US,Stillwater,MN,,,6.5
Lift Bridge Brewery,Hop Dish IPA,IPA,US,Stillwater,MN,,70,7.5
Steel Toe Brewing Co.,Provider,Ale,US,St. Louis Park,MN,,15,5
Steel Toe Brewing Co.,Rainmaker,Double Red Ale,US,St. Louis Park,MN,,65,6.5
Steel Toe Brewing Co.,Size 7,IPA,US,St. Louis Park,MN,,77,7
Steel Toe Brewing Co.,Dissent,Dark Ale,US,St. Louis Park,MN,,50,7
Third Street Brewhouse,Lost Trout,Brown Ale,US,Cold Spring,MN,,,4.9
Third Street Brewhouse,Rise to the Top,Cream Ale,US,Cold Spring,MN,,,4.1
Third Street Brewhouse,Bitter Neighbor,Black IPA,US,Cold Spring,MN,,,6.5
