Big Top Liquors,1574 University Avenue,Minneapolis,MN,55104,(651) 644-4501,,
Central Avenue Liquor,2538 Central Avenue,Minneapolis,MN,55418,(612) 781-3424,,
Chicago Lake Liquor,825 E. Lake St,Minneapolis,MN,55407,(612) 825-4401,,
Dinkytown Wine & Spirits,1412 5th St. SE,Minneapolis,MN,55414,(612) 379-0299,,dinkytownminneapolis.com‎
East Lake Liquor Store,3916 E Lake St,Minneapolis,MN,55406,(612) 724-5467,,
Falls Liquor,4604 Minnehaha Ave.,Minneapolis,MN,,,,
Franklin/ Nicollet Liquors,2012 Nicollet Ave S,Minneapolis,MN,55404,(866) 348-8257,,
Greenway Liquor,105 W Grant St,Minneapolis,MN,55403,(612) 871-3727,,
Haskell's,81 S 9th St #130,Minneapolis,MN,55402,(612) 333-2434,,
Hennepin Lake Liquor Store,1200 W Lake St,Minneapolis,MN,55408,(612) 825-4411,,
Hi-Lake Liquors,2218 E Lake St,Minneapolis,MN,55407,(612) 721-6683,,
Hum's Liquor Store,2126 Lyndale Ave S,Minneapolis,MN,55405,(612) 874-1111,,
Lake Wine & Spirits,404 West Lake Street,Minneapolis,MN,55408,(612) 354-7194,,
Little Wine Shop,2236 Carter Ave.,Minneapolis,MN,55108,(651) 645-5178,,
Lowry Hill Liquors,1922 Hennepin Ave S,Minneapolis,MN,55403,(612) 871-2500,,
Merwin Liquors,700 W. Broadway,Minneapolis,MN,55411,(612) 529-9639,,
Midway Liquor Store,1944 University Ave W,Minneapolis,MN,55104,(651) 644-7900,,
Minnehaha Warehouse Liquors,2613 East Lake Street,Minneapolis,MN,55406,(612) 729-9371,,
North Loop Wine & Spirits,218 Washington Avenue North,Minneapolis,MN,55401,(612) 338-5393,,
Sentryz Liquor & Supermarket,1612 2nd Street NE,Minneapolis,MN,55413,(612) 781-3484,,
Skol Liquors,2500 27th Avenue South,Minneapolis,MN,55406,(612) 729-2333,,skolliquors.com‎
Sorella Liquors,1010 Washington Ave S,Minneapolis,MN,55415,(612) 339-4040,,
Surdyks,303 East Hennepin Ave,Minneapolis,MN,55414,(612) 379-3232,,
Team Liquor,19 7th St. S.,Minneapolis,MN,55402,(612) 379-3232,,
Valu Liquors,901 Washington Ave SE,Minneapolis,MN,55414,(612) 331-8006,,
Zipp's Liquor,2618 East Franklin Avenue,Minneapolis,MN,55406,(612) 333-8686,,zippsliquors.com‎
